"id","creation_date","score"
22557677,2014-03-21,1
22557707,2014-03-21,2
22558084,2014-03-21,2
22558395,2014-03-21,2
22558613,2014-03-21,0
22558677,2014-03-21,2
22558887,2014-03-21,8
22559180,2014-03-21,1
22559312,2014-03-21,0
22559322,2014-03-21,2
22559999,2014-03-21,0
22560267,2014-03-21,0
22560341,2014-03-21,0
22560358,2014-03-21,1
22560395,2014-03-21,2
22560850,2014-03-21,2
22560940,2014-03-21,0
22561122,2014-03-21,-1
22561269,2014-03-21,0
22561363,2014-03-21,0
22561622,2014-03-21,0
22561909,2014-03-21,1
22562315,2014-03-21,-2
22562421,2014-03-21,0
22562648,2014-03-21,1
22562719,2014-03-21,0
22562839,2014-03-21,1
22563412,2014-03-21,1
22563555,2014-03-21,1
22563561,2014-03-21,7
22563683,2014-03-21,1
22564176,2014-03-21,0
22564202,2014-03-21,0
22564306,2014-03-21,4
22564312,2014-03-21,3
22564364,2014-03-21,3
22564463,2014-03-21,1
22564541,2014-03-21,0
22564844,2014-03-21,2
22565024,2014-03-21,14
22565118,2014-03-21,6
22565219,2014-03-21,2
22565226,2014-03-21,1
22565411,2014-03-21,0
22565625,2014-03-21,2
22565721,2014-03-21,2
22566235,2014-03-21,1
22566317,2014-03-21,5
22566350,2014-03-21,1
22566392,2014-03-21,2
22566592,2014-03-21,2
22566865,2014-03-21,1
22567085,2014-03-21,4
22567327,2014-03-21,1
22567410,2014-03-21,1
22568105,2014-03-21,1
22568428,2014-03-21,1
22568557,2014-03-21,2
22568946,2014-03-21,2
22568956,2014-03-21,8
22569005,2014-03-21,1
22569101,2014-03-21,1
22569103,2014-03-21,3
22569126,2014-03-21,1
22569176,2014-03-21,21
22569464,2014-03-21,2
22569724,2014-03-21,1
22569919,2014-03-21,3
22570195,2014-03-21,2
22570381,2014-03-21,1
22570864,2014-03-21,1
22571054,2014-03-21,0
22571163,2014-03-21,0
22571307,2014-03-21,0
22571491,2014-03-21,2
22571548,2014-03-21,0
22571719,2014-03-22,1
22572162,2014-03-22,1
22572326,2014-03-22,0
22572832,2014-03-22,4
22572901,2014-03-22,5
22572965,2014-03-22,0
22603294,2014-03-22,1
22591172,2014-03-22,2
22573664,2014-03-22,4
22573847,2014-03-22,2
22573942,2014-03-22,0
22574089,2014-03-22,1
22574440,2014-03-22,0
22574524,2014-03-22,2
22574662,2014-03-22,2
22574976,2014-03-22,0
22575405,2014-03-22,0
22577087,2014-03-22,1
22577161,2014-03-22,1
22577385,2014-03-22,0
22577966,2014-03-22,0
22578260,2014-03-22,3
22578538,2014-03-22,0
22579162,2014-03-22,0
22579390,2014-03-22,2
22579663,2014-03-22,2
22580293,2014-03-22,2
22580379,2014-03-22,18
22580911,2014-03-22,-1
22580960,2014-03-22,3
22581122,2014-03-22,4
22581567,2014-03-22,11
22581855,2014-03-22,0
22581869,2014-03-22,1
22581940,2014-03-22,0
22582010,2014-03-22,0
22582504,2014-03-22,2
22582998,2014-03-22,1
22584334,2014-03-22,3
22584552,2014-03-22,0
22584978,2014-03-22,1
22585071,2014-03-22,3
22585302,2014-03-23,2
22585801,2014-03-23,3
22585808,2014-03-23,4
22585862,2014-03-23,0
22585969,2014-03-23,0
22586013,2014-03-23,0
22586098,2014-03-23,1
22586372,2014-03-23,3
22587130,2014-03-23,1
22587414,2014-03-23,0
22587561,2014-03-23,0
22587852,2014-03-23,1
22587959,2014-03-23,0
22588474,2014-03-23,0
22588673,2014-03-23,2
22588816,2014-03-23,2
22588909,2014-03-23,4
22588932,2014-03-23,1
22588956,2014-03-23,2
22589643,2014-03-23,3
22589801,2014-03-23,0
22589851,2014-03-23,6
22589913,2014-03-23,0
22590005,2014-03-23,1
22590362,2014-03-23,0
22590597,2014-03-23,0
22591010,2014-03-23,0
22591136,2014-03-23,1
22598678,2014-03-23,1
22591590,2014-03-23,3
22591702,2014-03-23,1
22591892,2014-03-23,1
22592193,2014-03-23,3
22592325,2014-03-23,0
22592518,2014-03-23,0
22592559,2014-03-23,0
22592610,2014-03-23,2
22592789,2014-03-23,4
22592819,2014-03-23,-4
22593102,2014-03-23,4
22593209,2014-03-23,0
22593228,2014-03-23,1
22593842,2014-03-23,1
22593926,2014-03-23,0
22594015,2014-03-23,0
22605520,2014-03-23,0
22594238,2014-03-23,17
22594423,2014-03-23,0
22594795,2014-03-23,1
22594851,2014-03-23,0
22595089,2014-03-23,0
22595198,2014-03-23,0
22595471,2014-03-23,0
22595525,2014-03-23,0
22595765,2014-03-23,3
22595767,2014-03-23,0
22595915,2014-03-23,1
22596181,2014-03-23,1
22596203,2014-03-23,2
22596370,2014-03-23,2
22596538,2014-03-23,2
22596904,2014-03-23,0
22596960,2014-03-23,0
22596971,2014-03-23,1
22597310,2014-03-23,1
22597397,2014-03-23,0
22597663,2014-03-23,6
22598010,2014-03-23,2
22598144,2014-03-23,0
22598251,2014-03-23,0
22598458,2014-03-23,0
22598517,2014-03-23,0
22598722,2014-03-23,0
22599030,2014-03-24,0
22599525,2014-03-24,1
22599542,2014-03-24,2
22599623,2014-03-24,1
22599701,2014-03-24,3
22599817,2014-03-24,3
22599935,2014-03-24,0
22600113,2014-03-24,0
22600390,2014-03-24,3
22600439,2014-03-24,0
22600576,2014-03-24,1
22613085,2014-03-24,3
22601011,2014-03-24,2
22601407,2014-03-24,1
22601643,2014-03-24,2
22601728,2014-03-24,3
22601750,2014-03-24,0
22601771,2014-03-24,0
22602400,2014-03-24,0
22603098,2014-03-24,19
22603847,2014-03-24,22
22612557,2014-03-24,4
22604107,2014-03-24,3
22604257,2014-03-24,1
22604546,2014-03-24,0
22605238,2014-03-24,2
22605364,2014-03-24,0
22605387,2014-03-24,0
22605532,2014-03-24,0
22606389,2014-03-24,0
22606862,2014-03-24,3
22607406,2014-03-24,4
22607596,2014-03-24,2
22607737,2014-03-24,0
22608286,2014-03-24,1
22608585,2014-03-24,0
22608863,2014-03-24,2
22609010,2014-03-24,6
22609199,2014-03-24,0
22609517,2014-03-24,0
22609592,2014-03-24,0
22609878,2014-03-24,0
22610113,2014-03-24,0
22610330,2014-03-24,2
22610597,2014-03-24,0
22610921,2014-03-24,0
22611375,2014-03-24,0
22612128,2014-03-24,3
22612204,2014-03-24,1
22612264,2014-03-24,0
22612337,2014-03-24,4
22612382,2014-03-24,0
22612413,2014-03-24,0
22613013,2014-03-24,0
22613056,2014-03-24,0
22613822,2014-03-24,1
22614439,2014-03-24,3
22614722,2014-03-24,4
22615090,2014-03-24,0
22615188,2014-03-24,5
22615406,2014-03-24,1
22615853,2014-03-24,16
22616191,2014-03-24,0
22616292,2014-03-24,0
22616703,2014-03-24,1
22617050,2014-03-24,1
22617110,2014-03-24,1
22617354,2014-03-24,1
22617466,2014-03-24,4
22617593,2014-03-24,4
22618691,2014-03-24,1
22618751,2014-03-24,5
22619395,2014-03-24,2
22619459,2014-03-24,1
22619561,2014-03-24,1
22619649,2014-03-24,2
22619664,2014-03-24,1
22619908,2014-03-24,3
22620100,2014-03-24,0
22620338,2014-03-24,0
22620379,2014-03-24,1
22620412,2014-03-24,1
22620814,2014-03-24,0
22620825,2014-03-24,2
22621138,2014-03-24,4
22621401,2014-03-24,1
22621555,2014-03-24,0
22621655,2014-03-24,0
22621779,2014-03-24,8
22621875,2014-03-24,3
22622123,2014-03-24,8
22622226,2014-03-24,9
22622609,2014-03-24,0
22622944,2014-03-24,2
22622993,2014-03-25,0
22623038,2014-03-25,0
22623280,2014-03-25,0
22623309,2014-03-25,3
22623809,2014-03-25,1
22624078,2014-03-25,2
22624216,2014-03-25,1
22624284,2014-03-25,4
22624345,2014-03-25,1
22624878,2014-03-25,4
22624933,2014-03-25,0
22625087,2014-03-25,0
22625119,2014-03-25,2
22625212,2014-03-25,0
22625314,2014-03-25,1
22625960,2014-03-25,5
22626231,2014-03-25,1
22626412,2014-03-25,7
22627267,2014-03-25,2
22628863,2014-03-25,19
22628936,2014-03-25,0
22628971,2014-03-25,0
